ward_id,building_count,total_area_m2,mean_area_m2,median_area_m2,max_area_m2,std_area_m2,mean_confidence,WARD,ward_area_m2,ward_area_km2,building_density_per_km2,building_coverage_pct,imperviousness_estimate,building_size_variability
"93
",6736,720223.7173279374,106.92157323752039,85.97629928588867,8160.6053,154.06638757026855,0.779249807007126,"93
",1868291.7893083994,1.8682917893083995,3605.4325339049524,38.54985187268571,50.11480743449142,1.440928924867375
"61
",2357,242097.93272650908,102.7144390014888,60.67359924316406,6367.1532,209.5513377635675,0.7605791260076368,"61
",642482.5864441717,0.6424825864441718,3668.5819191534,37.68163337568466,48.98612338839006,2.040135153350058
"86
",2885,330552.37318468094,114.57621254235042,88.20349884033203,3608.6533203125,119.95634831289001,0.7751994454072791,"86
",887706.5985076042,0.8877065985076042,3249.94767961645,37.23666960912529,48.40767049186288,1.0469568303154633
"90
",2433,241757.3454088562,99.36594550302351,67.91349792480469,3501.13720703125,154.9912084146021,0.7604420468557337,"90
",1145521.4129428538,1.1455214129428537,2123.9236320773816,21.104567987758486,27.435938384086032,1.5598020793742262
"26
",2987,161130.31813502312,53.94386278373723,36.217899322509766,719.8712768554688,60.36074787717997,0.7360619015734851,"26
",352085.64171314525,0.35208564171314527,8483.7313599786,45.76452403767741,59.493881248980635,1.1189548683076005
"72
",2790,246097.23718068772,88.20689504684148,64.67355346679688,1127.3543,85.1883512889018,0.7603590681003585,"72
",577588.6589642788,0.5775886589642788,4830.427254238295,42.60769898459999,55.39000867997999,0.9657788231142621
"134
",2371,203534.18862791863,85.84318373172444,54.99039840698242,8626.6081,218.09771581954192,0.7588449599325179,"134
",381747.2228252146,0.3817472228252146,6210.916172363557,53.316481812654345,69.31142635645065,2.540652691786653
"99
",5299,445078.2844312191,83.99288251202474,72.54460144042969,1052.2562255859375,58.18888125402921,0.7807896584261182,"99
",910071.636353683,0.9100716363536829,5822.618559162126,48.905851655203925,63.57760715176511,0.6927834777631149
"125
",14030,982409.1348501343,70.022033845341,60.1560001373291,4323.6878,65.68204267563416,0.7698009265858874,"125
",2881401.0624401253,2.8814010624401254,4869.159029225401,34.09484183427688,44.323294384559944,0.9380196356579322
"118
",4544,415136.98772573203,91.35937229879666,71.01765060424805,3090.8913,104.16857940264427,0.7720523327464789,"118
",848032.8335894976,0.8480328335894977,5358.2830994484675,48.95293805648627,63.63881947343215,1.1402068204010234
"83
",2915,223181.20818853378,76.56302167702702,57.13560104370117,979.3458251953124,70.95150893709192,0.7533603430531732,"83
",480905.5879076464,0.48090558790764637,6061.48082554574,46.408528784114225,60.33108741934849,0.9267072717740076
"43
",1432,119077.89569090804,83.15495509141623,47.748748779296875,2299.1071,123.84293870758474,0.7440223463687151,"43
",236434.03773310693,0.23643403773310692,6056.657551212994,50.36410866752035,65.47334126777646,1.4893031758773516
"47
",2021,182746.64487211648,90.42387178234362,54.910701751708984,2070.0901,126.89256999736,0.7472722909450767,"47
",403286.189141179,0.40328618914117903,5011.3295580585955,45.31438214169592,58.9086967842047,1.4033083022898976
"115
",7611,629775.0795516686,82.74537899772285,72.68990325927734,3491.7904,69.74186822253131,0.7769130074891604,"115
",1472901.5287461577,1.4729015287461578,5167.351551653996,42.75744625560811,55.58468013229054,0.8428491000621389
"68
",3463,375830.20489642944,108.52734764551818,85.05819702148438,3887.8234,132.84446778986046,0.773161131966503,"68
",927837.476691509,0.9278374766915091,3732.334688989278,40.506038432136634,52.65784996177763,1.2240644470900464
"39
",1000,86370.89080757064,86.37089080757065,50.085750579833984,3593.147705078125,159.8980132816122,0.7491118999999999,"39
",201332.7123559777,0.20133271235597772,4966.90273675891,42.899581392842755,55.76945581069558,1.851295173484499
"12
",2433,220195.01026771392,90.50349784945085,64.15809631347656,2117.5734,101.37151162974634,0.7602654336210439,"12
",525890.2665677,0.5258902665677,4626.440447128508,41.87090430573073,54.432175597449955,1.1200839087829955
"108
",17026,1483677.0683882297,87.1418459055697,57.331050872802734,4494.72998046875,127.34446566357204,0.7812658580993774,"108
",11942531.035868697,11.942531035868697,1425.6609381096353,12.423472578233977,16.15051435170417,1.46134689184307
"110
",5694,517279.7071725369,90.84645366570722,71.02429962158203,4466.890625,131.6958990639977,0.7862561643835617,"110
",1751111.6127562933,1.7511116127562933,3251.64881468492,29.540076338042535,38.402099239455296,1.4496537151423265
"141
",10969,686227.4989907264,62.56062530683986,47.36520004272461,6425.4291,100.81147209161426,0.7609904822682103,"141
",2608127.15694249,2.60812715694249,4205.699852785923,26.311121264317173,34.20445764361232,1.6114204677009898
"17
",3355,190055.97682857513,56.64857729614758,40.9208984375,853.89111328125,56.34230761379369,0.7383132041728764,"17
",362818.10143648175,0.36281810143648174,9247.057924389026,52.38326755917058,68.09824782692175,0.994593515018872
"7
",2253,165150.91669011116,73.30267052379546,50.241798400878906,1090.713623046875,78.74637240994579,0.7507069241011983,"7
",421277.9295935914,0.42127792959359145,5348.013370112881,39.20236620262375,50.963076063410874,1.0742633501242387
"16
",1960,166676.81492376328,85.03919128763432,61.847700119018555,1017.3463134765624,79.4460602302662,0.7590265306122449,"16
",308793.9145840005,0.30879391458400046,6347.275342651955,53.97671620190643,70.16973106247836,0.9342287835446357
"137
",1978,293094.61106101685,148.17725533924008,51.38495063781738,25436.505,891.9391417157768,0.7537746713852377,"137
",624841.7356621551,0.6248417356621551,3165.601602946514,46.907015702211325,60.97912041287472,6.019406552468211
