date,ward_id,flooded,event_id,event_type,confidence,max_rainfall_mm,source,notes
2015-07-26,38,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-26,44,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-26,43,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-26,40,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-26,37,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-26,48,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-26,39,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-27,38,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-27,44,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-27,43,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-27,40,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-27,37,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-27,48,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-27,39,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-28,38,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-28,44,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-28,43,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-28,40,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-28,37,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-28,48,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-28,39,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-29,38,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-29,44,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-29,43,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-29,40,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-29,37,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-29,48,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-29,39,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
2015-07-30,38,1,2015_KOMEN,cyclone,0.7,87,Cyclone Komen reports,Cholera outbreak followed
