WARD,elev_fabdem_mean,elev_fabdem_min,flow_fabdem_max,flow_fabdem_mean,flow_log,is_wetland_interface
93,6.6610256405028485,5.28000020980835,2669.36958530941,24.312354336075124,3.4265713728823872,0
61,6.31367741369432,5.059999942779541,5023.387288330312,130.67538948677498,3.701083108177812,0
86,6.9031865134234724,5.210000038146973,4563.601291511554,142.26315589600728,3.6594028488016104,0
90,6.158298479711399,3.9800000190734863,2990.2968133901586,116.69749017266078,3.475859508324523,0
26,8.523434598869253,7.869999885559082,1049.8795050287952,34.43158479982059,3.021552922211781,0
72,6.913931617709646,5.889999866485596,554.7889550449914,16.354052855851723,2.7449099119795415,0
134,5.406095453043046,4.099999904632568,871.3133888914887,10.627339416742188,2.940672538390156,0
99,5.909780623054155,5.300000190734863,2687.075266681518,92.55621310914383,3.4294414248902756,0
125,3.875761934434497,1.9299999475479126,1860.0597170473523,40.40817609300178,3.2697603088470717,0
118,6.884370731725926,5.739999771118164,1183.346826599826,43.996182848989555,3.0734789007160197,0
83,6.234295541887841,0.5,12585.619460292917,126.75164080326594,4.099909102079085,0
43,9.30818815596843,7.590000152587891,115.68440655989909,13.917208253040442,2.0670128217910717,0
47,8.618553715303909,8.140000343322754,855.2894094503068,32.8443083352775,2.9326205727199786,0
115,5.72748455875446,4.110000133514404,1985.4194060377731,28.09829449526839,3.2980709493445106,0
68,5.516975097172625,3.75,5899.842837974337,147.10440062791557,3.770914047869055,0
39,7.5068464437461,7.420000076293945,1915.4265279755602,128.7533548477146,3.2824921739131283,0
12,6.268596209186109,0.5,11369.434750314133,-2797.3918515042747,4.055777070321227,0
108,1.9057794861782908,0.0,56988.39279627737,728.3884120690514,4.755794029729911,1
110,3.696329709263866,1.5,9880.042153942173,166.53062460181897,3.994802752061067,0
141,3.837313909979232,0.5,5657.916675700357,68.24614013896176,3.7527332992454605,0
17,8.498105044778624,7.840000152587891,1759.3896763005332,93.33217235279778,3.2456088130044853,0
7,8.118447931435815,0.5,157.86799359977223,-2145.3074449323185,2.2010364107182965,0
