ward_id,ward_name,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,clay_std,infiltration_index,soil_type
"93
","Ward_93
",2.98125,93.3,3.71875,1.3353125,0.1445629188277547,0.27101875,silty
"61
","Ward_61
",3.15,93.30833333333334,3.5416666666666665,1.3,0.16051133570215187,0.2736416666666667,silty
"86
","Ward_86
",2.9,93.19333333333333,3.906666666666667,1.328,0.17688665548562132,0.2686266666666667,silty
"90
","Ward_90
",3.065,93.10499999999999,3.8299999999999996,1.26,0.22605309110914634,0.27013,silty
"26
","Ward_26
",3.5666666666666664,93.03333333333333,3.4,1.265,0.057735026918962574,0.27686666666666665,silty
"72
","Ward_72
",2.8727272727272726,93.31818181818181,3.8090909090909095,1.3245454545454547,0.07925270806437587,0.26959090909090905,silty
"134
","Ward_134
",3.0714285714285716,93.0142857142857,3.9142857142857146,1.2685714285714287,0.11248582677159728,0.2692285714285714,silty
"99
","Ward_99
",3.08,93.36,3.56,1.3353333333333333,0.13063945294843618,0.27315999999999996,silty
"125
","Ward_125
",2.6098039215686275,93.99607843137255,3.394117647058823,1.3264705882352943,0.19843679756979998,0.27310392156862745,silty
"118
","Ward_118
",3.164285714285714,93.18571428571428,3.65,1.2657142857142858,0.12955969390869324,0.2725071428571429,silty
"83
","Ward_83
",2.933333333333333,93.22222222222221,3.844444444444444,1.3166666666666667,0.12570787221094176,0.2694444444444444,silty
"43
","Ward_43
",3.4799999999999995,92.97999999999999,3.54,1.25,0.04898979485566356,0.27498,silty
"47
","Ward_47
",3.257142857142857,93.05714285714285,3.6857142857142855,1.247142857142857,0.12453996981544782,0.27248571428571433,silty
"115
","Ward_115
",3.3200000000000003,93.288,3.3920000000000003,1.3932,0.164730082255792,0.27596799999999994,silty
"68
","Ward_68
",2.8941176470588235,93.31176470588235,3.7941176470588234,1.3370588235294119,0.13490994048446725,0.2698411764705882,silty
"39
","Ward_39
",3.5,92.93333333333334,3.5666666666666664,1.2733333333333332,0.04714045207910317,0.27476666666666666,silty
"12
","Ward_12
",3.0,93.15,3.85,1.2575,0.19364916731037085,0.26965,silty
"108
","Ward_108
",2.8442748091603054,93.59007633587785,3.5656488549618324,1.20412213740458,0.2411078097735604,0.27215496183206106,silty
"110
","Ward_110
",3.024137931034483,93.51379310344828,3.462068965517241,1.339655172413793,0.21076836951636033,0.27401379310344826,silty
"141
","Ward_141
",2.9441176470588237,93.38235294117648,3.6735294117647057,1.1497058823529411,0.26380565878224893,0.27136764705882355,silty
"17
","Ward_17
",3.3600000000000003,93.08,3.56,1.276,0.08,0.2742799999999999,silty
"7
","Ward_7
",3.15,92.96666666666667,3.8833333333333337,1.2283333333333333,0.13437096247164249,0.2698833333333333,silty
"16
","Ward_16
",3.38,92.96000000000001,3.66,1.264,0.07999999999999999,0.27326,silty
"137
","Ward_137
",3.518181818181818,92.76363636363637,3.718181818181818,1.228181818181818,0.179990817029303,0.27317272727272723,silty
"84
","Ward_84
",3.0,93.12857142857143,3.8714285714285714,1.334285714285714,0.14846149779161805,0.2694142857142857,silty
"18
","Ward_18
",3.3600000000000003,93.02000000000001,3.62,1.244,0.116619037896906,0.27362000000000003,silty
"25
","Ward_25
",3.5875,93.0,3.4125,1.2775,0.05994789404140899,0.2768125,silty
"60
","Ward_60
",3.025,93.225,3.75,1.3225,0.15,0.27085000000000004,silty
"10
","Ward_10
",3.28,93.11,3.6100000000000003,1.275,0.14456832294800961,0.27341,silty
"62
","Ward_62
",3.3285714285714283,93.08571428571429,3.5857142857142854,1.2871428571428571,0.11248582677159728,0.2738714285714286,silty
"71
","Ward_71
",2.8263157894736843,93.4421052631579,3.7315789473684213,1.2878947368421052,0.10786263964168,0.2702578947368421,silty
"91
","Ward_91
",2.8705882352941177,93.43529411764706,3.6941176470588233,1.3735294117647059,0.11098801331831298,0.2708470588235294,silty
"75
","Ward_75
",2.944444444444444,93.3,3.7555555555555555,1.2344444444444445,0.20608041101101565,0.27046666666666663,silty
"96
","Ward_96
",3.142857142857143,93.32380952380952,3.5333333333333337,1.3161904761904761,0.07766431633476234,0.2737047619047619,silty
"88
","Ward_88
",2.8875,93.25,3.8625,1.31625,0.09921567416492215,0.2690625,silty
"44
","Ward_44
",3.3714285714285714,92.95714285714286,3.6714285714285717,1.2614285714285713,0.14846149779161805,0.2731,silty
"85
","Ward_85
",3.0928571428571425,93.12142857142857,3.7857142857142856,1.354285714285714,0.12453996981544782,0.2707285714285714,silty
"89
","Ward_89
",2.9384615384615382,93.26153846153846,3.8,1.3546153846153846,0.06793662204867575,0.2699538461538462,silty
"67
","Ward_67
",2.834375,93.403125,3.7625,1.354375,0.11924240017711821,0.2699499999999999,silty
"76
","Ward_76
",3.3888888888888884,93.13333333333334,3.477777777777778,1.2222222222222223,0.10304020550550781,0.27529999999999993,silty
"74
","Ward_74
",2.745762711864407,93.41355932203389,3.840677966101695,1.323050847457627,0.17956505272066478,0.26873559322033896,silty
"87
","Ward_87
",3.1,93.09285714285714,3.807142857142857,1.3457142857142859,0.2016513459070443,0.2705214285714285,silty
"132
","Ward_132
",2.95,93.4,3.65,1.325625,0.13693063937629152,0.27165,silty
"69
","Ward_69
",2.6685714285714286,93.48857142857142,3.842857142857143,1.3582857142857143,0.14199741302616203,0.26840285714285717,silty
"22
","Ward_22
",3.4333333333333336,92.86666666666666,3.7,1.23,0.12909944487358055,0.2730333333333333,silty
"119
","Ward_119
",3.13,93.26,3.6100000000000003,1.27,0.10440306508910549,0.27281,silty
