date,ward_id,period,sar_water_extent
2015-02-17,30,2014-2016,0.0
2015-02-17,58,2014-2016,0.04461641830067434
2015-03-01,93,2014-2016,0.0
2015-03-01,61,2014-2016,0.0
2015-03-01,86,2014-2016,0.0
2015-03-01,90,2014-2016,0.09830236441956314
2015-03-01,26,2014-2016,0.0
2015-03-01,72,2014-2016,0.0
2015-03-01,134,2014-2016,0.0
2015-03-01,99,2014-2016,0.0
2015-03-01,125,2014-2016,0.0
2015-03-01,118,2014-2016,0.0
2015-03-01,83,2014-2016,0.0
2015-03-01,43,2014-2016,0.0
2015-03-01,47,2014-2016,0.0
2015-03-01,115,2014-2016,0.0
2015-03-01,68,2014-2016,0.0
2015-03-01,39,2014-2016,0.0
2015-03-01,12,2014-2016,0.0
2015-03-01,108,2014-2016,0.16511590219756175
2015-03-01,110,2014-2016,0.009137926246184695
2015-03-01,141,2014-2016,0.0010519229846826115
2015-03-01,17,2014-2016,0.0
2015-03-01,7,2014-2016,0.0011898045480697793
2015-03-01,16,2014-2016,0.0
2015-03-01,137,2014-2016,0.00041176182591262336
2015-03-01,84,2014-2016,0.0
2015-03-01,18,2014-2016,0.0
2015-03-01,25,2014-2016,0.0
2015-03-01,60,2014-2016,0.0
2015-03-01,10,2014-2016,0.0
2015-03-01,62,2014-2016,0.0
2015-03-01,71,2014-2016,0.0
2015-03-01,91,2014-2016,0.0
2015-03-01,75,2014-2016,0.0014560391138086141
2015-03-01,96,2014-2016,0.0
2015-03-01,88,2014-2016,0.0
2015-03-01,44,2014-2016,0.0
2015-03-01,85,2014-2016,0.0
2015-03-01,89,2014-2016,0.0
2015-03-01,67,2014-2016,0.0
2015-03-01,76,2014-2016,0.0
2015-03-01,74,2014-2016,0.0
2015-03-01,87,2014-2016,0.0036124400156565296
2015-03-01,132,2014-2016,0.0
2015-03-01,69,2014-2016,0.0
2015-03-01,22,2014-2016,0.0
2015-03-01,119,2014-2016,0.0
2015-03-01,54,2014-2016,0.0
2015-03-01,122,2014-2016,0.0
2015-03-01,29,2014-2016,0.0
2015-03-01,109,2014-2016,0.019922441085608148
2015-03-01,32,2014-2016,0.0010815077490383645
2015-03-01,57,2014-2016,0.11545145806114275
2015-03-01,136,2014-2016,0.0
2015-03-01,106,2014-2016,0.0
2015-03-01,4,2014-2016,0.0
2015-03-01,52,2014-2016,0.0
2015-03-01,38,2014-2016,0.0
2015-03-01,81,2014-2016,0.0
2015-03-01,127,2014-2016,0.0
2015-03-01,53,2014-2016,0.0
2015-03-01,34,2014-2016,0.0
2015-03-01,135,2014-2016,0.0
2015-03-01,117,2014-2016,0.01899813958125304
2015-03-01,105,2014-2016,0.0
2015-03-01,20,2014-2016,0.0
2015-03-01,102,2014-2016,0.0
2015-03-01,46,2014-2016,0.0
2015-03-01,73,2014-2016,0.0
2015-03-01,82,2014-2016,0.0
2015-03-01,124,2014-2016,0.0
2015-03-01,56,2014-2016,0.0
2015-03-01,3,2014-2016,0.0
2015-03-01,36,2014-2016,0.0
2015-03-01,41,2014-2016,0.0
2015-03-01,37,2014-2016,0.0
2015-03-01,139,2014-2016,0.0
2015-03-01,23,2014-2016,0.0
2015-03-01,40,2014-2016,0.0
2015-03-01,121,2014-2016,0.0
2015-03-01,33,2014-2016,0.06737146238386431
2015-03-01,103,2014-2016,0.0
2015-03-01,13,2014-2016,0.0
2015-03-01,66,2014-2016,0.0020435643954984446
2015-03-01,123,2014-2016,0.0
2015-03-01,63,2014-2016,0.02005363322584947
2015-03-01,21,2014-2016,0.0
2015-03-01,49,2014-2016,0.0
2015-03-01,70,2014-2016,0.0
2015-03-01,45,2014-2016,0.0005847479598765099
2015-03-01,100,2014-2016,0.0
2015-03-01,92,2014-2016,0.0
2015-03-01,9,2014-2016,0.0
2015-03-01,114,2014-2016,0.0
2015-03-01,101,2014-2016,0.0
2015-03-01,138,2014-2016,0.0
2015-03-01,31,2014-2016,0.0
2015-03-01,104,2014-2016,0.0
2015-03-01,5,2014-2016,0.0
2015-03-01,126,2014-2016,0.0
2015-03-01,14,2014-2016,0.0
2015-03-01,111,2014-2016,0.0
2015-03-01,130,2014-2016,0.0
2015-03-01,19,2014-2016,1.6152949043906942e-05
2015-03-01,78,2014-2016,0.0
2015-03-01,27,2014-2016,0.0
2015-03-01,98,2014-2016,0.0
2015-03-01,6,2014-2016,0.0001297992543179059
2015-03-01,2,2014-2016,0.0
2015-03-01,59,2014-2016,0.0
2015-03-01,131,2014-2016,0.0
2015-03-01,42,2014-2016,0.0
2015-03-01,129,2014-2016,0.0
2015-03-01,51,2014-2016,0.0
