ward_id,ward_name,total_pixels,lc_10_pct,lc_10_count,lc_20_pct,lc_20_count,lc_30_pct,lc_30_count,lc_40_pct,lc_40_count,lc_50_pct,lc_50_count,lc_60_pct,lc_60_count,lc_70_pct,lc_70_count,lc_80_pct,lc_80_count,lc_90_pct,lc_90_count,lc_95_pct,lc_95_count,lc_100_pct,lc_100_count,built_up_pct,vegetation_pct,water_pct,wetland_pct,cropland_pct,imperviousness_worldcover,runoff_coefficient
"93
","Ward_93
",20332,14.661617155223293,2981,0.0,0,0.05902026362384419,12,0.4180602006688963,85,83.95140664961637,17069,0.11804052724768838,24,0.0,0,0.7918552036199095,161,0.0,0,0.0,0,0.0,0,83.95140664961637,14.720637418847138,0.7918552036199095,0.0,0.4180602006688963,84.04583907141452,0.7882377532952981
"61
","Ward_61
",6982,7.419077628186765,518,0.0,0,0.042967631051274706,3,0.10025780578630766,7,92.3517616728731,6448,0.08593526210254941,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,92.3517616728731,7.46204525923804,0.0,0.0,0.10025780578630766,92.42050988255514,0.8434904038957319
"86
","Ward_86
",9657,12.622967795381587,1219,0.0,0,1.791446619032826,173,0.32101066583825205,31,85.1920886403645,8227,0.07248627938283111,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,85.1920886403645,14.414414414414413,0.0,0.0,0.32101066583825205,85.25007766387077,0.7920057989023508
"90
","Ward_90
",12470,36.80834001603849,4590,0.0,0,0.3929430633520449,49,1.0264635124298316,128,45.91018444266239,5725,0.53728949478749,67,0.0,0,15.324779470729752,1911,0.0,0,0.0,0,0.0,0,45.91018444266239,37.201283079390535,15.324779470729752,0.0,1.0264635124298316,46.34001603849239,0.6310384923817162
"26
","Ward_26
",3834,5.0339071465832035,193,0.0,0,0.7824726134585289,30,0.0,0,93.97496087636932,3603,0.20865936358894105,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,93.97496087636932,5.816379760041732,0.0,0.0,0.0,94.14188836724047,0.8569509650495566
"72
","Ward_72
",6281,2.945390861327814,185,0.0,0,0.0,0,0.0,0,96.640662314918,6070,0.0955261900971183,6,0.0,0,0.31842063365706097,20,0.0,0,0.0,0,0.0,0,96.640662314918,2.945390861327814,0.31842063365706097,0.0,0.0,96.7170832669957,0.8781324629836013
"134
","Ward_134
",4154,4.18873375060183,174,0.0,0,0.02407318247472316,1,0.0,0,95.28165623495426,3958,0.2888781896966779,12,0.0,0,0.21665864227250844,9,0.0,0,0.0,0,0.0,0,95.28165623495426,4.2128069330765525,0.21665864227250844,0.0,0.0,95.5127587867116,0.8683558016369765
"99
","Ward_99
",9899,5.778361450651581,572,0.0,0,0.1414284271138499,14,0.0,0,93.25184362056773,9231,0.21214264067077482,21,0.0,0,0.6162238609960602,61,0.0,0,0.0,0,0.0,0,93.25184362056773,5.919789877765431,0.6162238609960602,0.0,0.0,93.42155773310435,0.8561470855641983
"125
","Ward_125
",31347,35.10702778575302,11005,0.0,0,0.3796216543847896,119,0.5614572367371679,176,63.080996586595205,19774,0.19140587616039811,60,0.0,0,0.6603502727533735,207,0.019140587616039813,6,0.0,0,0.0,0,63.080996586595205,35.48664944013781,0.6603502727533735,0.019140587616039813,0.5614572367371679,63.23412128752352,0.63173828436533
"118
","Ward_118
",9230,6.641386782231852,613,0.0,0,0.21668472372697722,20,0.13001083423618637,12,92.41603466955578,8530,0.46587215601300114,43,0.0,0,0.13001083423618637,12,0.0,0,0.0,0,0.0,0,92.41603466955578,6.858071505958829,0.13001083423618637,0.0,0.13001083423618637,92.78873239436619,0.847795232936078
"83
","Ward_83
",5229,4.685408299866131,245,0.0,0,0.0,0,0.0,0,95.16159877605661,4976,0.13386880856760375,7,0.0,0,0.019124115509657678,1,0.0,0,0.0,0,0.0,0,95.16159877605661,4.685408299866131,0.019124115509657678,0.0,0.0,95.26869382291069,0.8647446930579461
"43
","Ward_43
",2576,0.03881987577639751,1,0.0,0,0.0,0,0.0,0,99.9611801242236,2575,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,99.9611801242236,0.03881987577639751,0.0,0.0,0.0,99.9611801242236,0.8997088509316771
"47
","Ward_47
",4393,1.5251536535397223,67,0.0,0,0.0,0,0.0,0,98.29273844753016,4318,0.1821078989301161,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,98.29273844753016,1.5251536535397223,0.0,0.0,0.0,98.43842476667425,0.8883792396995218
"115
","Ward_115
",16022,13.27549619273499,2127,0.0,0,0.11234552490325801,18,0.0,0,84.74597428535763,13578,0.36824366496067906,59,0.0,0,1.4979403320434403,240,0.0,0,0.0,0,0.0,0,84.74597428535763,13.387841717638247,1.4979403320434403,0.0,0.0,85.04056921732618,0.8008332293096992
"68
","Ward_68
",10097,5.0113895216400905,506,0.0,0,0.0,0,0.0,0,94.95889868277706,9588,0.029711795582846392,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,94.95889868277706,5.0113895216400905,0.0,0.0,0.0,94.98266811924334,0.8623848667921166
"39
","Ward_39
",2193,0.5471956224350205,12,0.0,0,0.9119927040583675,20,0.0,0,98.49521203830369,2160,0.045599635202918376,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,98.49521203830369,1.459188326493388,0.0,0.0,0.0,98.53169174646602,0.8899224806201551
