system:index,date,timestamp,.geo
70,2015-10-13,1.444716462085E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2015-10-13,1.444716502844E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2015-10-17,1.44506122768E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2015-10-17,1.445061268438E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2015-10-28,1.44599064359E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2015-11-27,1.44866854769E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2015-11-28,1.448690028951E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2015-11-28,1.448690069713E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2015-12-15,1.45013783705E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2015-12-27,1.45117465139E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2016-01-05,1.45197406348E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2016-01-05,1.451974104239E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2016-01-14,1.452751245831E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2016-01-14,1.452751286593E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2016-02-01,1.45428503554E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2016-02-07,1.45488934546E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2016-02-13,1.45532184999E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2016-02-20,1.455947628208E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2016-02-20,1.455947668963E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2016-02-25,1.45635863518E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2016-03-02,1.45696294545E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2016-03-24,1.45884376432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2016-04-02,1.459576426888E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2016-04-02,1.45957646765E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2016-04-13,1.460505836E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2016-04-19,1.46111014677E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2016-05-10,1.462860459839E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2016-05-10,1.462860500601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2016-05-13,1.46318375087E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2016-05-19,1.463637643182E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2016-05-25,1.46419647008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2016-05-25,1.46422054404E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2016-05-31,1.46465303891E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2016-06-06,1.46525735213E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2016-06-12,1.46568985717E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2016-06-21,1.466489260392E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2016-06-25,1.466834025963E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2016-06-25,1.466834066719E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
