period,buffer_permanent_water_m2,buffer_permanent_water_km2,buffer_mean_frequency,buffer_max_frequency,buffer_area_km2
2014-2016,3584600,3.5846,0.06224321473534365,0.9268292784690857,651.4702025559615
2017-2019,2197100,2.1971,0.04262637536136878,0.6868686676025391,651.4702025559615
2020-2022,1977000,1.977,0.03842400181301531,0.6788991093635559,651.4702025559615
2023-2025,898500,0.8985,0.03776182951347556,0.6333333253860474,651.4702025559615
