ward_id,ward_name,ward_area_km2,canal_count,canal_count_major,canal_count_drain,canal_count_river,canal_length_km,canal_length_major_km,canal_length_drain_km,canal_density,has_canal,has_major_canal,has_named_canal,has_river,named_canals,distance_to_canal_m,primary_drainage_type
"93
","Ward_93
",1.8679506491755964,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1709.1158771568225,pipe
"61
","Ward_61
",0.6425972387594214,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1575.3040544464004,pipe
"86
","Ward_86
",0.8879359165480314,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,2232.007082401491,pipe
"90
","Ward_90
",1.14564605069012,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,2038.9076846722603,pipe
"26
","Ward_26
",0.3525790773762656,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1542.0508449893575,pipe
"72
","Ward_72
",0.5775291622183627,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,837.9892183722294,pipe
"134
","Ward_134
",0.3819964273599596,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,817.6669059788671,pipe
"99
","Ward_99
",0.9102607277255901,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1074.3880371593993,pipe
"125
","Ward_125
",2.881406310503395,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1750.414513574488,pipe
"118
","Ward_118
",0.8480864750285484,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,955.9652580741694,pipe
"83
","Ward_83
",0.4810878276138438,1,0,0,1,0.3595124841166446,0.0,0.0,0.7472907512538762,True,False,True,True,Adi Ganga,0.0,river
"43
","Ward_43
",0.23634840381938316,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1226.5547516281235,pipe
"47
","Ward_47
",0.40329046485041475,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1764.7598796387813,pipe
"115
","Ward_115
",1.4727589635113332,3,0,0,3,1.2526848391442424,0.0,0.0,0.8505701680861661,True,False,True,True,Adi Ganga,0.0,river
"68
","Ward_68
",0.9281489807309822,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1538.4731577853652,pipe
"39
","Ward_39
",0.20143075252328121,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1683.7192504351924,pipe
"12
","Ward_12
",0.5258965144846596,3,3,0,0,0.6843393229404126,0.6843393229404126,0.0,1.3012813435567556,True,True,True,False,"Beliāghāta Canal, Krishnapur Canal, Circular Canal",0.0,canal
"108
","Ward_108
",11.943159463006003,9,9,0,0,15.609497039182862,15.609497039182862,0.0,1.30698221752237,True,True,True,False,"Panchanangram Canal, Lead Canal, south purbachal canal",0.0,canal
"110
","Ward_110
",1.7508926883823106,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,555.8940094031666,pipe
"141
","Ward_141
",2.6081327092975637,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,3234.4297149034733,pipe
"17
","Ward_17
",0.3628491602312581,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1336.4204055000744,pipe
"7
","Ward_7
",0.4212068664179908,4,4,0,0,0.4074944496352693,0.4074944496352693,0.0,0.9674449353132962,True,True,True,False,Circular Canal,0.0,canal
"16
","Ward_16
",0.30892460123962706,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,846.997230918214,pipe
"137
","Ward_137
",0.6248066989097749,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1609.2233063111216,pipe
"84
","Ward_84
",0.46497110476591524,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,935.6173788005148,pipe
"18
","Ward_18
",0.23717453716674217,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1204.803488701275,pipe
"25
","Ward_25
",0.406597401587724,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1473.954176227447,pipe
"60
","Ward_60
",0.5819393668938913,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1602.6355799006903,pipe
"10
","Ward_10
",0.4384902814491712,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,870.052978309812,pipe
"62
","Ward_62
",0.3879364609419748,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1368.1658781126976,pipe
"71
","Ward_71
",1.039627136714977,1,0,0,1,0.1463287384118184,0.0,0.0,0.1407511724580307,True,False,True,True,Adi Ganga,0.0,river
"91
","Ward_91
",1.0791616111029578,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,785.330574242918,pipe
"75
","Ward_75
",0.5629207781276894,1,0,0,1,1.0239584606255319,0.0,0.0,1.8190098863134585,True,False,True,True,Adi Ganga,0.0,river
"96
","Ward_96
",1.1268172331609325,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,488.7003625771251,pipe
"88
","Ward_88
",0.48933443477801186,2,0,1,1,0.6852273829599437,0.0,0.008078700705478968,1.4003252872870051,True,False,True,True,Adi Ganga,0.0,river
"44
","Ward_44
",0.5219750938869706,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1546.8301431236619,pipe
"85
","Ward_85
",0.7143450415777992,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1695.0480851115028,pipe
"89
","Ward_89
",0.698561777203137,1,0,0,1,0.04805210994147429,0.0,0.0,0.06878720180463162,True,False,True,True,Adi Ganga,0.0,river
"67
","Ward_67
",1.8353663031127223,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,896.8093492897832,pipe
"76
","Ward_76
",0.43621047685707715,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,582.5083554196408,pipe
"74
","Ward_74
",3.3475525968477657,13,10,2,1,3.9807702977101536,1.1552612025703004,1.1603425556747968,1.1891584023081996,True,True,True,True,"Rhinocerous Enclosure, Pelican, Stork and Goose Enclosure, Adi Ganga",0.0,river
"87
","Ward_87
",0.7473369484590299,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,931.9937369564249,pipe
"132
","Ward_132
",0.9167122885218041,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1554.6985114862653,pipe
"69
","Ward_69
",2.0169270697647588,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1683.546479113026,pipe
"22
","Ward_22
",0.34542954181947255,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,405.12393596126526,pipe
"119
","Ward_119
",0.6286670953985781,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1216.9601929459282,pipe
"54
","Ward_54
",0.37667569192232986,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,2168.900535741885,pipe
"122
","Ward_122
",3.1560113328627097,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1120.4534387509696,pipe
"29
","Ward_29
",0.5634386522193464,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,528.2059398979768,pipe
"109
","Ward_109
",7.095093579516272,4,2,2,0,1.4527758031724811,0.9900975490074407,0.4626782541650404,0.20475780719322495,True,True,True,False,Panchanangram Canal,0.0,canal
"32
","Ward_32
",1.664560183609359,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,768.5106612213845,pipe
"57
","Ward_57
",2.7359107867098285,8,4,4,0,1.9363547524699076,1.8176198922363052,0.11873486023360277,0.7077550780807964,True,True,False,False,,0.0,canal
"136
","Ward_136
",0.5295160958804134,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1607.1319290057468,pipe
"106
","Ward_106
",1.911217702001334,4,4,0,0,2.620375891641535,2.620375891641535,0.0,1.3710504506616934,True,True,True,False,"Panchanangram Canal, south purbachal canal",0.0,canal
"4
","Ward_4
",0.9491397088190723,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,631.0228090620639,pipe
"52
","Ward_52
",0.23867562888365912,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1135.4783467970126,pipe
"38
","Ward_38
",0.49163705402347063,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1581.7824663531862,pipe
"81
","Ward_81
",1.2735444922299057,1,0,0,1,0.690555635457765,0.0,0.0,0.5422312606045199,True,False,True,True,Adi Ganga,0.0,river
"127
","Ward_127
",3.4237934613861087,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,3403.0758702127137,pipe
"53
","Ward_53
",0.34476279378382685,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1655.011997117746,pipe
"34
","Ward_34
",0.7884795746248834,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1152.0836476186005,pipe
"135
","Ward_135
",0.3345802494620074,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,975.4995766267775,pipe
"117
","Ward_117
",0.7315233327786768,1,0,0,1,0.42778181464534476,0.0,0.0,0.5847821873574751,True,False,True,True,Adi Ganga,0.0,river
"105
","Ward_105
",0.6674313890089728,1,1,0,0,0.40081669437564016,0.40081669437564016,0.0,0.6005361764162573,True,True,False,False,,0.0,canal
"20
","Ward_20
",0.2955441434246709,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,682.6600962931652,pipe
"102
","Ward_102
",0.9853418307023192,1,1,0,0,0.7230071775606054,0.7230071775606054,0.0,0.7337627968613387,True,True,True,False,Panchanangram Canal,0.0,canal
"46
","Ward_46
",1.307626002302084,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1017.3960580631975,pipe
"73
","Ward_73
",0.5419163286125048,1,0,0,1,0.8597558600443514,0.0,0.0,1.5865103423726443,True,False,True,True,Adi Ganga,0.0,river
"82
","Ward_82
",0.9260856388251295,3,0,2,1,1.4388872874345022,0.0,0.8533061710851393,1.5537302676023936,True,False,True,True,Adi Ganga,0.0,river
"124
","Ward_124
",2.5464769259633773,1,1,0,0,1.1788876423406272,1.1788876423406272,0.0,0.462948487897503,True,True,False,False,,0.0,canal
"56
","Ward_56
",0.6777649446812692,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1471.4277423933777,pipe
"3
","Ward_3
",1.3469844742391495,1,0,1,0,0.12515320638308236,0.0,0.12515320638308236,0.09291362207702931,True,False,False,False,,0.0,drain
"36
","Ward_36
",0.9891063550409858,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,669.6346198760355,pipe
"41
","Ward_41
",0.20977391708395846,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1252.1012570930957,pipe
"37
","Ward_37
",0.3138033812685799,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1182.5878002617114,pipe
"139
","Ward_139
",1.6149379163642763,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,2895.621075331615,pipe
"23
","Ward_23
",0.16436909673668726,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,868.3789026493735,pipe
"40
","Ward_40
",0.3677313334351809,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1668.2426504259129,pipe
"121
","Ward_121
",1.4760217776231461,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1220.4517299596275,pipe
"33
","Ward_33
",1.8271831435824812,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1374.7853731052417,pipe
"103
","Ward_103
",0.9543072629620426,2,1,1,0,1.9979781119305304,1.7069183355332358,0.2910597763972947,2.0936423618207334,True,True,True,False,Panchanangram Canal,0.0,canal
"13
","Ward_13
",0.7857667601252785,3,3,0,0,0.9868483638057735,0.9868483638057735,0.0,1.255904950278675,True,True,True,False,"Beliāghāta Canal, Krishnapur Canal",0.0,canal
"66
","Ward_66
",1.9082578764345506,1,1,0,0,1.1980111079650129,1.1980111079650129,0.0,0.6278035703452275,True,True,False,False,,0.0,canal
"123
","Ward_123
",1.8947742366729605,1,1,0,0,0.9403243458996328,0.9403243458996328,0.0,0.4962724992243672,True,True,False,False,,0.0,canal
"63
","Ward_63
",3.7992018778574153,3,0,2,1,0.2632440862285247,0.0,0.010883807578169466,0.06928931251660228,True,False,True,True,Adi Ganga,0.0,river
"21
","Ward_21
",0.3408184199010182,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,417.883703985735,pipe
"49
","Ward_49
",0.2582488111715375,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1328.1520831240161,pipe
"70
","Ward_70
",0.8324356609938462,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1112.1414100173627,pipe
"45
","Ward_45
",1.5402178825323822,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,552.9765362310926,pipe
"100
","Ward_100
",1.4057042681945944,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,392.4169643290328,pipe
"92
","Ward_92
",1.5748864713719823,1,1,0,0,0.19060372484257332,0.19060372484257332,0.0,0.12102696182063617,True,True,False,False,,0.0,canal
"9
","Ward_9
",0.2967189597662592,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,731.1725946528088,pipe
"114
","Ward_114
",2.3077261687115462,1,0,0,1,0.6770718052187271,0.0,0.0,0.2933934772671712,True,False,True,True,Adi Ganga,0.0,river
"101
","Ward_101
",1.6763448321535284,5,0,5,0,1.7886688236447443,0.0,1.7886688236447443,1.0670053018548207,True,False,False,False,,0.0,drain
"138
","Ward_138
",0.8080568058717922,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,2282.729179950041,pipe
"31
","Ward_31
",1.3846408245676916,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,,1232.6755180706987,pipe
